title,author,year_published,subjects,edition_count,open_library_key,queried_author
Literatura na świecie 5-6/2018 (#562-563),Charles Baudelaire,,,2,/book/show/50918212-literatura-na-wiecie-5-6-2018,Achille Mbembe
Le grand repli (Cahiers libres),Nicolas Bancel,,,1,/book/show/29550006-le-grand-repli-cahiers-libres,Achille Mbembe
Panáfrica. Arte e imaginarios políticos para la construcción de un planeta negro,Rasheed Araeen,,,1,/book/show/244045160-pan-frica-arte-e-imaginarios-pol-ticos-para-la-construcci-n-de-un-plane,Achille Mbembe
Kafka's Monkey and Other Phantoms of Africa,Seloua Luste Boulbina,,,4,/book/show/53806037-kafka-s-monkey-and-other-phantoms-of-africa,Achille Mbembe
"Demain, c’est maintenant: Panafricanisme, éthique du passant et devenir africain",Amzat Boukari-Yabara,,,2,/book/show/184256337-demain-c-est-maintenant,Achille Mbembe
Le politique par le bas en Afrique noire - contributions à une problématique de la démocratie,Jean-François Bayart,,,2,/book/show/65003328-le-politique-par-le-bas-en-afrique-noire---contributions-une-probl-mat,Achille Mbembe
Politique des Temps - Imaginer les devenirs africains (2),Various,,,1,/book/show/57155393-politique-des-temps---imaginer-les-devenirs-africains,Achille Mbembe
"La défense populaire au Cameroun: Repères historiques, appropriations actuelles et défis futurs",François Xavier Noah Edzimbi,,,1,/book/show/135980105-la-d-fense-populaire-au-cameroun,Achille Mbembe
Publishing from the South,Sarah Nuttall,,,2,/book/show/217896155-publishing-from-the-south,Achille Mbembe
Noirs d'encre,Dominic Thomas,,,2,/book/show/82855216-noirs-d-encre,Achille Mbembe
"L’État, le marché et la fragilité: Dynamiques croisées de l’investissement public et privé dans l’Alliance des États du Sahel (AES) (L'Esprit Économique) (French Edition)",Etienne Fakaba Sissoko,,,1,/book/show/241604740-l-tat-le-march-et-la-fragilit,Achille Mbembe
"Ambazonie, révélations inédites: Enquête, dessous des cartes, dialogue de sourds",Jean-Marc Soboth,,,1,/book/show/48981536-ambazonie-r-v-lations-in-dites,Achille Mbembe
Les armes miraculeuses,Aimé Césaire,1946.0,,7,/book/show/1098657.Les_armes_miraculeuses,Aimé Césaire
